,logFC,AveExpr,t,P.Value,adj.P.Val,B
GeneID:100126297,-0.765346565,-5.578002716,-2.42267647,0.017821074,0.563394435,-3.153416441
GeneID:100126299,0.215920464,0.672637762,0.399153437,0.690914714,0.914991046,-5.251507083
GeneID:100126301,-0.016034402,-6.369203092,-0.062997922,0.949935794,0.986786282,-5.368007957
GeneID:100126302,0.094889615,-6.045580369,0.378816818,0.705894425,0.920397004,-5.28514564
GeneID:100126303,0.021978765,-6.51655463,0.098561039,0.921749815,0.979648111,-5.377167961
GeneID:100126304,0.241336018,-6.587794672,1.148316434,0.254488179,0.794126015,-4.859773775
GeneID:100126306,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:100126307,0.154786085,-6.587794672,0.735332946,0.464430575,0.843938603,-5.168752653
GeneID:100126308,-0.332247428,-5.522022544,-1.038204162,0.302511384,0.794126015,-4.890181362
GeneID:100126309,-0.855539601,-2.902164776,-2.371367396,0.020291003,0.576409728,-3.337062065
GeneID:100126310,-0.344651269,-4.759229187,-0.730755325,0.46720589,0.844361569,-5.039191768
GeneID:100126311,-0.648864202,-0.751126675,-1.384784472,0.170225077,0.794126015,-4.530065881
GeneID:100126313,-0.521682075,-5.048090513,-1.520200955,0.132666246,0.794126015,-4.414645913
GeneID:100126314,-0.106369447,0.308122772,-0.445672406,0.65711806,0.902624051,-5.202580276
GeneID:100126315,-0.238336025,-6.166242268,-0.853344987,0.396185822,0.817898533,-5.067696307
GeneID:100126316,0.273462699,-4.296350387,0.566801538,0.572541846,0.877299999,-5.081251787
GeneID:100126317,-0.324244134,-1.206475812,-1.026605571,0.30790666,0.794126015,-4.814770659
GeneID:100126318,-0.181719739,-6.270386656,-0.720819332,0.473262036,0.846063027,-5.156718903
GeneID:100126319,-0.017453912,-6.501283301,-0.077084017,0.938762025,0.984560196,-5.377703448
GeneID:100126320,-0.39475516,-1.376029053,-1.228631571,0.223052172,0.794126015,-4.655226765
GeneID:100126321,0.152505957,-1.290423173,0.776803691,0.439718293,0.843367139,-4.968312863
GeneID:100126323,-0.168491028,-4.690649734,-0.369702148,0.712646528,0.922486851,-5.178147464
GeneID:100126324,0.305719357,-6.565781303,1.382040498,0.171062667,0.794126015,-4.626593279
GeneID:100126325,0.228453769,-6.369203092,0.959148258,0.340566654,0.794126015,-5.003726391
GeneID:100126326,-2.482677861,-2.765727181,-3.15801872,0.002289318,0.430342925,-1.970555154
GeneID:100126327,0.256085567,-2.338916693,0.986481227,0.327069576,0.794126015,-4.81753311
GeneID:100126328,0.100284078,-5.150277337,0.299114279,0.765680325,0.937961067,-5.228101337
GeneID:100126329,0.175862852,-1.195596667,0.550965283,0.58329544,0.880636522,-5.07627206
GeneID:100126330,-0.204947611,-2.061997536,-0.504640652,0.615291098,0.891290287,-5.062593471
GeneID:100126331,0.162223574,-3.75297111,0.514805495,0.608203173,0.88851029,-5.069393641
GeneID:100126332,-0.041320604,-2.192329162,-0.142767602,0.88685667,0.971368454,-5.138681119
GeneID:100126333,-0.229342588,-5.718149886,-0.730955412,0.467084386,0.844361569,-5.109659491
GeneID:100126334,0.251012662,-6.587794672,1.17257349,0.244678693,0.794126015,-4.837612925
GeneID:100126335,-0.232434389,-5.715648453,-0.661813587,0.51011949,0.853365178,-5.146737348
GeneID:100126336,0.242868334,-6.587794672,1.152271984,0.252869793,0.794126015,-4.856190321
GeneID:100126337,-0.138641507,-6.162612132,-0.457838979,0.648392122,0.900617717,-5.270728862
GeneID:100126338,-0.146750805,0.555833691,-0.4544423,0.650823356,0.901047547,-5.219668078
GeneID:100126339,0.232361076,-1.565914955,0.672503191,0.503330567,0.850917633,-5.011213399
GeneID:100126340,-0.432129318,-6.033140823,-1.449664218,0.151322003,0.794126015,-4.531316279
GeneID:100126341,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:100126342,0.246392781,-6.587794672,1.161219371,0.249236052,0.794126015,-4.848041069
GeneID:100126343,0.162700678,-5.49807627,0.508122433,0.612859087,0.890327699,-5.193176028
GeneID:100126345,-0.670709287,-5.395255687,-1.925828312,0.05791711,0.691465226,-3.921222842
GeneID:100126346,0.240991357,-6.425007563,1.047171674,0.298384222,0.794126015,-4.937499206
GeneID:100126347,-0.248882971,-3.393076181,-0.653070626,0.515708227,0.856086227,-5.002820028
GeneID:100126348,0.114390414,-5.000387284,0.341352547,0.733792922,0.928337751,-5.204410782
GeneID:100126349,0.498796957,-1.848210068,1.363472374,0.176813464,0.794126015,-4.531618229
GeneID:100126350,-0.113791922,-3.36920346,-0.352821688,0.725212005,0.925359797,-5.102006008
GeneID:100126351,-0.462332034,-1.732010493,-1.73369309,0.087082664,0.743275691,-4.155704883
GeneID:100126352,0.217728501,-1.653841083,0.661979142,0.510013976,0.853352636,-5.013132246
GeneID:100126354,0.453846472,-5.973154538,1.071691842,0.287295746,0.794126015,-4.88690947
GeneID:100126355,-0.983785101,-3.871328102,-2.355725936,0.021102309,0.580556849,-3.331366445
GeneID:100126356,-0.208842476,-3.947681205,-0.516767465,0.606839379,0.88837052,-5.081039911
GeneID:100126447,0.297238364,-6.565781303,1.389049456,0.168929432,0.794126015,-4.619025897
GeneID:100126582,-0.003959833,-5.628012661,-0.013116307,0.989569838,0.997145367,-5.305903645
GeneID:100126584,-0.016132867,-6.450514525,-0.067102823,0.946678451,0.986588956,-5.374381743
GeneID:100126693,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:100126780,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:100126781,0.243884408,-6.587794672,1.154887267,0.251803792,0.794126015,-4.853814572
GeneID:100126784,-0.646507457,2.660790871,-2.001493547,0.048957548,0.671947191,-3.860595892
GeneID:100126791,0.011113654,-5.703875344,0.03765142,0.970065672,0.992894728,-5.312081004
GeneID:100126793,0.327524226,-0.467155675,1.546240701,0.126256836,0.794126015,-4.374246052
GeneID:100126798,0.154502651,-6.587794672,0.733503121,0.465538835,0.843938603,-5.16982477
GeneID:100126799,0.154502651,-6.587794672,0.733503121,0.465538835,0.843938603,-5.16982477
GeneID:100126800,0.149139427,-6.587794672,0.699117164,0.486641799,0.848278462,-5.189483341
GeneID:100127206,-0.545269731,-5.389088992,-1.18424306,0.240057215,0.794126015,-4.761262291
GeneID:100127888,-0.3133108,0.525665889,-0.832957456,0.407514053,0.82564185,-5.030474166
GeneID:100127889,0.035732188,1.068639972,0.146176943,0.884173982,0.970607996,-5.33882425
GeneID:100127967,-0.45747359,-2.491367686,-0.670083267,0.504863177,0.850935328,-4.990262001
GeneID:100127974,-0.227128758,1.580798358,-1.635584029,0.106117907,0.775516574,-4.337813839
GeneID:100127983,-0.444703387,2.017439646,-1.765514917,0.081548365,0.735467157,-4.185415382
GeneID:100128002,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:100128006,-0.54133923,-4.09531037,-1.124330779,0.264459185,0.794126015,-4.746979045
GeneID:100128023,0.119634475,-3.97153759,0.323089164,0.747526999,0.93226975,-5.136965142
GeneID:100128025,-0.061646946,-6.004421006,-0.215432606,0.830014965,0.955567944,-5.320952753
GeneID:100128054,0.502806015,0.6646579,1.459112198,0.148710853,0.794126015,-4.506011382
GeneID:100128055,0.129226544,1.667553202,0.906259605,0.367701513,0.801277988,-5.081040747
GeneID:100128071,0.326691682,-5.994039113,1.1672695,0.246800149,0.794126015,-4.807739306
GeneID:100128076,0.037387902,-5.82990875,0.120863954,0.904122087,0.97536982,-5.317745354
GeneID:100128079,-0.092166117,0.864565822,-0.581557056,0.562609342,0.873165648,-5.195286947
GeneID:100128081,0.193699284,2.79227892,1.03579105,0.303628566,0.794126015,-5.093864442
GeneID:100128098,0.117722269,-6.132140663,0.439656679,0.661450356,0.90406944,-5.272613011
GeneID:100128108,0.167231317,0.225217835,0.595151518,0.553534127,0.871810304,-5.140475183
GeneID:100128124,-0.024410927,-6.394083834,-0.100028014,0.920589046,0.979550632,-5.367667344
GeneID:100128126,-0.127851697,-3.092513492,-0.361369614,0.718839411,0.924480577,-5.093952483
GeneID:100128127,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:100128139,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:100128164,0.170692319,-3.757406453,0.513413944,0.609171304,0.888685343,-5.068943124
GeneID:100128176,-0.32452305,0.309743378,-1.572003316,0.120160175,0.794126015,-4.363503648
GeneID:100128191,0.025696174,3.138695146,0.149596144,0.881484895,0.970130922,-5.584941397
GeneID:100128233,0.176835306,-6.499741199,0.786285214,0.434178301,0.839521652,-5.131791598
GeneID:100128239,0.010668486,-6.401452094,0.04766479,0.962110123,0.990635857,-5.371258584
GeneID:100128252,-0.971026855,0.665838494,-2.171133891,0.033085323,0.629361291,-3.56253281
GeneID:100128264,0.206039151,-6.565781303,0.968087689,0.336112826,0.794126015,-5.009408184
GeneID:100128276,0.20354558,-6.565781303,0.96056355,0.339858965,0.794126015,-5.015154443
GeneID:100128285,-0.119688146,-5.40669711,-0.392060627,0.696125554,0.917470635,-5.227179916
GeneID:100128288,0.115642488,-0.610284582,0.518239806,0.60581685,0.88824423,-5.116705826
GeneID:100128292,0.050964582,-5.927641401,0.181199604,0.856699807,0.964109738,-5.319305321
GeneID:100128317,0.165548333,-6.543767935,0.773597562,0.441600937,0.843938603,-5.142742177
GeneID:100128325,0.252539659,-6.587794672,1.154397461,0.252003195,0.794126015,-4.854259909
GeneID:100128327,0.128978665,-4.772302254,0.419360107,0.676151989,0.909308308,-5.166658255
GeneID:100128338,-0.575394824,-3.312415547,-1.452402849,0.150561483,0.794126015,-4.445931903
GeneID:100128340,-0.321445233,-6.080913573,-1.261714239,0.210962453,0.794126015,-4.72808924
GeneID:100128361,-0.212360332,1.943782725,-0.998907782,0.321052084,0.794126015,-5.032513244
GeneID:100128364,0.455292537,-5.35535756,1.562746118,0.122323234,0.794126015,-4.373464104
GeneID:100128374,-0.211229727,-0.227416046,-0.611530245,0.54269828,0.86620317,-5.09947013
GeneID:100128378,-0.619469221,-4.55900438,-1.487835449,0.140987822,0.794126015,-4.435384937
GeneID:100128385,0.520576304,-5.712039952,1.532434842,0.129623684,0.794126015,-4.420630728
GeneID:100128398,-0.12359685,-0.202800213,-0.437408315,0.663072525,0.905109561,-5.168404071
GeneID:100128420,0.225946072,-6.55554567,1.021144502,0.310469325,0.794126015,-4.966852242
GeneID:100128482,-0.27980726,-6.033802634,-1.074813425,0.285904728,0.794126015,-4.893344751
GeneID:100128494,-0.069418654,6.377926523,-0.499557411,0.618849475,0.892888814,-5.798689603
GeneID:100128496,0.104707998,-5.945464121,0.345905244,0.730382579,0.927497742,-5.286660573
GeneID:100128505,0.183740457,-6.194638249,0.771101019,0.443070166,0.843938603,-5.11937211
GeneID:100128511,0.072703595,-6.494541262,0.322643294,0.747863339,0.932374464,-5.337279664
GeneID:100128531,0.094715211,-3.223450272,0.248159835,0.804689102,0.947797673,-5.118890845
GeneID:100128553,-0.094643525,-0.960223708,-0.173378916,0.86282079,0.965857564,-5.181406212
GeneID:100128554,0.310433204,-6.397431169,1.250943536,0.214844264,0.794126015,-4.752535993
GeneID:100128560,0.090613704,-3.153099269,0.144861384,0.88520899,0.971005877,-5.131325923
GeneID:100128568,0.087057064,-6.504776895,0.386020027,0.700574951,0.918742442,-5.319939229
GeneID:100128569,0.00153864,4.027981613,0.005229114,0.995841677,0.998897503,-5.700155103
GeneID:100128573,0.24279049,-0.804403428,0.967630092,0.336339879,0.794126015,-4.871644999
GeneID:100128575,0.099705002,-6.411687727,0.43033176,0.668188679,0.907107455,-5.298184614
GeneID:100128590,0.107576709,-5.76914949,0.390481474,0.697287707,0.917936651,-5.258234233
GeneID:100128593,0.563676113,-6.165092379,1.92082237,0.058556022,0.691996993,-3.935554049
GeneID:100128594,0.293022895,-6.425007563,1.266388906,0.209293877,0.794126015,-4.738927763
GeneID:100128627,0.289012748,-0.989098258,0.76821407,0.444772701,0.843938603,-4.985181516
GeneID:100128640,-1.076841087,-5.122965517,-3.453584633,0.000913123,0.430342925,-1.196611129
GeneID:100128653,0.047509401,-1.246281357,0.197010757,0.84435216,0.960368034,-5.165581772
GeneID:100128675,1.359215349,0.800038616,2.022650672,0.046675324,0.669212267,-3.785663024
GeneID:100128682,-1.392778878,-2.118350519,-1.875772142,0.064579009,0.705762208,-3.990618884
GeneID:100128714,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:100128731,0.084014907,3.787242179,0.681856653,0.497430388,0.848846751,-5.466941646
GeneID:100128750,-0.155666768,2.087739976,-0.537388546,0.592590506,0.883494088,-5.338924027
GeneID:100128770,-1.064731448,-5.038904609,-2.099966333,0.039095522,0.637594381,-3.674802945
GeneID:100128782,-0.285602836,-3.208094429,-1.184595419,0.239918654,0.794126015,-4.67483718
GeneID:100128787,0.099326174,-6.565781303,0.424822929,0.67218234,0.908169229,-5.311591416
GeneID:100128788,0.155300425,-6.072629432,0.579753827,0.563818602,0.873340433,-5.211599442
GeneID:100128811,-0.449082303,-3.553902202,-0.728917969,0.468322474,0.84446401,-4.976550978
